Degree Centrality,Norm. Degree Centrality,In-degree Centrality,Norm. In-degree Centrality,Out-degree Centrality,Norm. Out-degree Centrality,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality,PageRank Centrality,Hub Score,Authority Score,Subgraph Centrality,Clustering
ts-preserve-service,jhipster-registry,ts-sso-service,consul,ts-preserve-other-service,movie-catalog-service,discovery-server,gateway,consul,discovery-server,authserver,registry,ts-preserve-service,benchmark-service
ts-preserve-other-service,order,ts-station-service,discovery-server,ts-preserve-service,apache,discovery-service,discovery-service,discovery-server,jhipster-registry,backend,scaffold-eureka,ts-preserve-other-service,database-qbike-order
ts-travel-service,order,ts-order-service,jhipster-registry,ts-preserve-other-service,jhipster-registry,zuul,registry,scaffold-eureka,rabbitmq,movie-catalog-service,discovery-service,ts-order-service,database-qbike-intention
ts-order-service,scaffold-eureka,ts-station-service,scaffold-eureka,ts-preserve-service,config-server,scaffold-zuul,gateway-service,discovery-service,kafka,rabbitmq,eureka,ts-order-other-service,database-qbike-trip
ts-travel-service,eureka,ts-order-service,discovery-service,config-server,order,api-gateway,eureka,eureka,consul,jhipster-registry,rabbit,ts-seat-service,database-qbike-uc
ts-order-other-service,apache,ts-order-other-service,eureka,config,configserver,api-gateway,jhipster-registry,logstash,discovery-service,config-server,jhipster-registry,ts-travel-service,uc
ts-seat-service,consul,scaffold-eureka,webservice-registry,configserver,configserver,microservice-api-gateway,zuul,webservice-registry,discovery-server,config-service,repository-service,ts-station-service,intention
ts-preserve-other-service,kafka,ts-route-service,eureka-server,ts-rebook-service,config-service,logstash,serviceregistry,zipkin,registry,configserver,discovery-server,ts-rebook-service,position
ts-travel2-service,configserver,ts-order-other-service,logstash,zookeeper,configurator,ts-station-service,api-gateway,registry,discovery-service,order,benchmark-service,ts-sso-service,order
ts-preserve-service,gateway-service,ts-train-service,registry,configserver,config-service,discovery-server,rabbitmq,eureka-service,scaffold-eureka,apache,mysql,ts-travel2-service,api-gateway
ts-sso-service,discovery-service,ts-travel-service,discovery-service,config-server,config-service,consul,eureka-service,kafka,gateway,order,invoicing,ts-travel-service,zipkin
ts-order-service,employee-service,ts-travel-service,employee-service,config-server,order,personal-info-service,recommendation-client,discovery-service,gateway-service,account-service,shipping,eureka-server,ts-consign-price-service
scaffold-eureka,department-service,eureka-server,discovery-server,config-service,config-server,jhipster-registry,gateway-service,eureka-server,scaffold-zuul,customer-service,rating-service,admin,ts-food-delivery-service
